species,breadth,mid.ele,bio1,bio5,bio6,te_min,te_ave,te_max,clade
antonii,14.27,1558,18.05,22.68,13.51,16.42,29.4,46.66,Draconura
chloris,18.85,1370,18.38,22.87,13.96,18.67,30.49,47.03,Dactyloa
chocorum,13,582,23.76,28.63,19.03,23.76,35.58,53.01,Dactyloa
heterodermus,22.92,2182,17.1,22.26,12.08,14.82,28.65,46.69,Dactyloa
princeps,19.22,772,22.42,27.19,17.76,21.21,33.1,50.18,Dactyloa
maculigula,16.48,1409,18.38,22.87,13.96,18.67,31.47,49.49,Dactyloa
maculiventris,13.88,564,23.76,28.63,19.03,23.81,34.58,50.13,Draconura
notopholis,17.98,239,23.76,28.63,19.03,23.81,34.59,50.18,Draconura
calimae,12.77,2160,16.32,21.31,11.48,14.16,28.37,46.48,Dactyloa
ventrimaculatus,15.65,1998,18.78,23.97,13.77,15.5,28.61,46.58,Dactyloa
